Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
19-Mar,0.07895,0.1201,0.03395,0.3771,0.04816,0.1689,0.06494,0.05641
19-Apr,0.109,0.05839,0.05107,0.4195,0.154,0.1713,0.1139,0.07968
19-May,0.1012,0.121,0.07873,0.275,0.1813,0.1458,0.09865,0.1114
19-Jun,0.1,0.08157,0.1864,0.3321,0.04693,0.3001,0.1887,0.169
19-Jul,0.05749,0.08385,0.4298,0.1747,0.09426,0.3303,0.3057,0.1919
19-Aug,0.07843,0.103,0.4354,0.1342,0.06456,0.3121,0.1627,0.1641
19-Sep,0.07111,0.1016,0.4022,0.1335,0.108,0.1903,0.3836,0.09607
19-Oct,0.1795,0.1294,0.1849,0.2794,0.1158,0.3263,0.1567,0.06149
19-Nov,0.2308,0.09849,0.05668,0.2149,0.361,0.1111,0.06565,0.02905
19-Dec,0.1784,0.09047,0.03927,0.3879,0.1375,0.1584,0.04917,0.02251
20-Jan,0.08083,0.06632,0.05276,0.3552,0.02831,0.1611,0.1201,0.04375
20-Feb,0.1286,0.1976,0.0316,0.3917,0.03249,0.14,0.08776,0.04345
20-Mar,0.1093,0.08195,0.05712,0.4341,0.1311,0.2011,0.0597,0.06091
20-Apr,0.08575,0.02764,0.06248,0.4605,0.07924,0.1811,0.06178,0.06263
20-May,0.1041,0.06675,0.09684,0.3836,0.0901,0.1846,0.1354,0.1127
20-Jun,0.1273,0.1401,0.2984,0.3525,0.1249,0.3581,0.272,0.1846
20-Jul,0.03099,0.08822,0.3852,0.3395,0.05378,0.5265,0.466,0.1926
20-Aug,0.0787,0.1217,0.4504,0.226,0.1022,0.1679,0.3792,0.1927
20-Sep,0.08777,0.07189,0.2704,0.3583,0.1163,0.2872,0.3248,0.1429
20-Oct,0.1822,0.1218,0.1328,0.3485,0.1582,0.1934,0.02346,0.05528
20-Nov,0.04982,0.03866,0.05077,0.4161,0.07775,0.1277,0.05916,0.03299
20-Dec,0.2015,0.108,0.03788,0.4122,0.2305,0.1325,0.02519,0.01535
21-Jan,0.1627,0.1364,0.03536,0.4458,0.1697,0.1428,0.05765,0.0164
21-Feb,0.1032,0.09056,0.01444,0.3245,0.08546,0.1616,0.03487,0.03963
21-Mar,0.05852,0.07987,0.02533,0.4474,0.06487,0.1823,0.1256,0.05409
21-Apr,0.06167,0.07009,0.04919,0.3125,0.1049,0.189,0.09826,0.07584
21-May,0.1507,0.165,0.1567,0.3645,0.09229,0.2829,0.1845,0.1314
21-Jun,0.1576,0.1494,0.2504,0.2948,0.05106,0.2512,0.1476,0.1626
21-Jul,0.1348,0.1654,0.3877,0.2852,0.09095,0.2492,0.2489,0.1909
21-Aug,0.06247,0.1541,0.2879,0.3535,0.06189,0.4549,0.3761,0.186
21-Sep,0.1074,0.06453,0.3323,0.3978,0.07929,0.2455,0.2251,0.1297
21-Oct,0.113,0.08332,0.1427,0.3086,0.1416,0.1602,0.07219,0.08488
21-Nov,0.09797,0.07876,0.09732,0.4511,0.2294,0.1994,0.0771,0.04119
21-Dec,0.1526,0.1085,0.03816,0.4379,0.1169,0.1477,0.01955,0.01902
22-Jan,0.07302,0.09363,0.05437,0.365,0.04756,0.1257,0.01595,0.03514
22-Feb,0.07336,0.1503,0.03619,0.4374,0.06119,0.1229,0.01611,0.04839
22-Mar,0.07728,0.02472,0.01821,0.3837,0.05915,0.168,0.114,0.06602
22-Apr,0.1033,0.09955,0.0619,0.3323,0.08309,0.1866,0.08171,0.08066
22-May,0.06021,0.07932,0.1195,0.3443,0.0786,0.2081,0.01228,0.1265
22-Jun,0.1456,0.1062,0.2251,0.3659,0.06321,0.269,0.2003,0.1889
22-Jul,0.0244,0.06868,0.4637,0.3379,0.04367,0.2883,0.249,0.1521
22-Aug,0.07263,0.08018,0.3757,0.3394,0.08997,0.2888,0.3051,0.1405
22-Sep,0.1405,0.1566,0.283,0.325,0.1359,0.2847,0.2302,0.09445
22-Oct,0.1041,0.09009,0.166,0.4127,0.06378,0.1433,0.0865,0.06057
22-Nov,0.1556,0.08491,0.03285,0.4437,0.1971,0.1764,0.07607,0.05138
22-Dec,0.1258,0.1039,0.03062,0.4047,0.1222,0.1639,0.03314,0.01596
