Date,ret_Fund,ret_AAPL,ret_APTV,ret_BAC,ret_BALL,ret_BEP,ret_BKNG,ret_BMRN,ret_COST,ret_CVS,ret_DE,ret_ETN,ret_GOOGL,ret_HD,ret_HIG,ret_MS,ret_MSFT,ret_PLD,ret_TT,ret_UNH,ret_V
2015-09-30,,,,,,,,,,,,,,,,,,,,,
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-30,0.05290000000000017,0.07712033539739593,0.15918646780503476,0.11874201906040338,0.11819007638200008,-0.07150908620671426,0.009693894520297786,-0.09447395534630987,0.11943843152769307,-0.02146295970519252,0.0752706076308498,0.14482013702298757,0.19499665570865732,0.15923472032998376,0.001562040804194531,0.09398050974347338,0.23624778590711437,0.09897176322924905,0.1556034552690586,-0.028446026064070762,0.13626182947662402
2015-12-31,-0.01272675467755724,-0.11022833070827476,-0.024465016773111636,-0.03170487042828152,0.047680672146639846,0.043027413106263346,0.020899208148434267,0.09845862555545493,0.0004951152195977748,0.03911097730241675,-0.0340398056175244,-0.10522676372934525,0.019872829095570088,-0.007802878139570368,-0.04776501707841274,-0.07259498918920626,0.020791279615496983,0.01363230461884446,-0.05264746080762539,0.04824883762378929,-0.018479009537019864
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,-0.07128427128427128,-0.0764329553605596,-0.21834304079654765,-0.2560902107493407,-0.0875971199204012,0.01714030370431252,-0.0076395079080731065,-0.21849941698055864,-0.06850346565677445,-0.0016733576418302976,0.05126520246558952,0.08973829111409204,-0.07813527056004621,-0.06147418513812619,-0.030832923814160806,-0.21891818905792193,-0.07632828216234044,-0.10391440076095493,0.004883438980460619,0.012410655983654317,-0.0646961466336975
2016-03-31,0.06639734824943022,0.12721043007560318,0.12507504093011956,0.08398107142242695,0.07640058721101828,0.14356613410915253,0.018771587904984344,0.007450843897486292,0.0503236663214921,0.06751068542926797,-0.0325449350794349,0.11411526548132978,0.06369037095566665,0.08091930002739955,0.0993096059308427,0.012550841843094407,0.08549535629356497,0.16023262347417844,0.12236946015131256,0.08675006788025108,0.056499906781149134
2016-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,0.003205439533754184,-0.07819034167249095,-0.0903644932665798,0.09393488969026809,0.01600674371488653,-0.0213014857601318,-0.01910843286776598,0.08693013915041958,-0.05311572641360163,-0.06634707560711106,0.068839998926159,-0.005912892864773589,-0.018416552135745445,-0.0046905945736559485,-0.015155399850970142,0.10035298252265346,-0.03366444519592571,0.07582619274381153,0.07740691287820844,0.037005456532707814,0.033993023317116844
2016-06-30,0.009198295894655262,-0.04265978808672388,-0.07886987655270972,-0.09972857405397118,-0.00013839287818795398,0.03186675587608301,-0.012591587978092122,-0.1321806834626813,0.05558928511081618,-0.007361247335594623,-0.007801998227012774,-0.03082921564110841,-0.06051953235995089,-0.033530124918247806,-0.017489599113580168,-0.05078546047372956,-0.03452853717635329,0.04062400161147961,-0.04219412313862969,0.06114329722431755,-0.06042583308615279
2016-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-31,0.057277175477309816,0.1158446318243207,0.1337159009462745,0.22193794672871747,0.09725583831049756,0.023817244964252637,0.13482745386587913,0.20681228414845276,0.03493181988792671,-0.020142059669191692,0.043311805526013325,0.12402247136205591,0.12269560890927833,0.05574287640534403,-0.06974033052664141,0.24252788918414914,0.12992248558984842,0.08299370449061416,0.06768232112379291,-0.03647321547239202,0.09263060061066941
2016-09-30,-0.010435571687840373,0.06550427554575933,0.009340672615995693,-0.03035949149559536,0.034852624538112,0.023286871967524103,0.03865239708381596,-0.014591572643391393,-0.05910290209322133,-0.04721647524869954,0.016807912221029397,-0.012473519074520878,0.01799072746278707,-0.04056082143785045,0.04261033052186347,0.0,0.0024365872299609848,0.016385216720203877,0.004072298283637421,0.03378550456531548,0.02224950339097398
2016-10-31,-0.028977533241632214,0.004334069870406854,-0.0876332756121706,0.05431299808904555,-0.059548342315995484,-0.007152008743495308,0.0018620515617224775,-0.1297016908279287,-0.03042431514567767,-0.05027828656100819,0.03456339057362068,-0.02952381621731459,0.007263135172063784,-0.05183367127594263,0.030126002350062242,0.053371011109802025,0.04027776205565292,-0.02577498239130127,-0.009567216486777164,0.009500104076144655,-0.0022972725202788924
2016-11-30,0.04202474265747469,-0.02160068643410107,-0.012152751982956844,0.2847486847284002,-0.024440332593214098,-0.03358014616038507,0.019976580067123217,0.06346250401628128,0.018272534406941432,-0.08573125951069094,0.13476785989783902,0.05282407086127039,-0.04200519220865373,0.06619996776611048,0.07344625522956161,0.2320523882541352,0.012468268853560449,-0.024156634370442798,0.10774267155558181,0.12467544286737064,-0.060929247254167374
2016-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
