Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
21-Dec,164059,80179,610550,694534,250536,322675,366826,407334
22-Jan,217466,112939,643704,727300,324822,367154,429181,425506
22-Feb,322079,231801,814557,727182,467811,490972,580615,562431
22-Mar,555242,530013,952571,779969,659046,625328,643736,734885
22-Apr,724906,643697,1008771,776743,852925,784159,868009,893539
22-May,909865,822190,965114,703228,967321,811585,998983,913729
22-Jun,946681,908309,835828,675424,1064701,790859,803239,909167
22-Jul,1056558,842199,611815,664991,1073694,762380,755041,928459
22-Aug,849230,742259,643858,727082,892159,704501,628294,828963
22-Sep,591226,472340,673791,781118,672136,616742,649027,743480
22-Oct,392100,305491,709776,742382,518990,503045,565619,591238
22-Nov,222779,159098,700580,719791,303391,380920,432289,443593
22-Dec,155592,90384,635870,689998,229763,313231,365040,407466
