Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,0,0,27.09,138.7,0,0.01606,0,0.2257
10-Feb,0,0,59,142.8,0,0.07135,0,3.123
10-Mar,0,0,206.2,159.7,0,0.1954,0,4.435
10-Apr,0.0003851,0,312,167.2,0,0.3146,0,5.918
10-May,0.4803,0.00113,342.6,172.7,0.7899,2.319,1.586,47.3
10-Jun,9.34,5.204,300.9,147.6,31.22,48.34,50.42,106.5
10-Jul,41.53,46.85,226.7,139.9,116.2,148.9,136.2,188.8
10-Aug,14.98,1.937,212.2,146.5,74.81,205.3,176.9,165.5
10-Sep,0.8889,0,187,138,8.703,107,67.1,86.03
10-Oct,0.06804,0,166.5,147.1,0.8596,6.26,0.2468,13.78
10-Nov,0,0,81.91,143.8,0.0001206,0.4429,0,0.9195
10-Dec,0,0,21.04,134.5,8.08E-07,0.1369,0,0.3546
11-Jan,0,0,21.17,130.2,0,0.0000575,0,0.001419
11-Feb,0,0,42.98,124.4,0,0.006027,0,0.1136
11-Mar,0,0,154.6,136.1,0,0.01082,0,0.3082
11-Apr,0.003097,0,228.1,138.2,0.1142,0.1233,0,18.39
11-May,1.256,0.5998,313.2,151.4,6.339,3.304,1.854,51.92
11-Jun,12.15,5.777,257.6,132.5,31.25,51.17,37.13,124.4
11-Jul,6.602,0.564,220.3,128.4,65.58,142.6,117.4,178.6
11-Aug,21.49,8.665,201.6,127.8,108.3,161.9,133.9,153.4
11-Sep,7.18,0.8725,190,133.2,49.27,87.85,44.83,63.48
11-Oct,0.1575,0,166,149.4,1.048,3.718,0.04758,13.21
11-Nov,0,0,68.38,142.1,0.0001242,1.251,0.01431,6.149
11-Dec,0,0,30.43,146.3,0,0.08964,0,0.07347
12-Jan,0,0,23.29,136.2,0,0.008975,0,0.01892
12-Feb,0,0,52.85,131,0,0.01377,0,0.2259
12-Mar,0,0,146.6,143.7,0,0.09844,0,2.154
12-Apr,0.02405,0.1389,253.9,147,0.004659,0.3821,0.1744,17.65
12-May,1.64,1.355,337.8,153.2,2.372,1.753,2.295,59.02
12-Jun,11.09,4.137,319.4,136.5,68.13,21.26,56.71,116.2
12-Jul,17.09,7.966,231.1,122.1,120.6,130.6,131.5,185.3
12-Aug,35.95,16.16,205.5,124.9,141.2,182.5,171.8,152.9
12-Sep,2.654,0.3912,193.6,136.5,24.1,98.2,19.53,52.28
12-Oct,0.06868,0,145.7,156.1,2.473,5.797,0.001627,16.17
12-Nov,0,0,49.9,148.6,0.08198,0.3294,0,3.403
12-Dec,0,0,34.13,144,0,0.1047,0,0.4852
13-Jan,0,0,29.71,138.1,0,0.009627,0,0.01416
13-Feb,0,0,49.61,131.3,0,0.04778,0,0.7605
13-Mar,0,0,154.1,157.9,0,0.1218,0,3.973
13-Apr,0.0000807,0,251.2,156.2,0.1135,0.2342,0,13.69
13-May,0,0.03412,333.3,159.7,0.193,5.693,4.591,57.39
13-Jun,4.533,10.72,244.9,150.7,31.59,41.18,57.34,123.3
13-Jul,47,20.2,211.9,125.7,97.85,147.4,149.8,196.6
13-Aug,21.42,14.09,198.1,130.8,99.35,191.9,190.9,196.4
13-Sep,3.871,1.43,201.6,135.3,21.28,75.52,33.15,71.97
13-Oct,0.1763,0,150.2,155,1.911,22.55,4.259,20.68
13-Nov,0,0,50.16,141.9,0.004519,0.5099,0,4.624
13-Dec,0,0,22.37,136,0,0.03658,0,0.01297
14-Jan,0,0,25.57,121.7,0,0.00167,0,0.003219
14-Feb,0,0,38.75,122.1,0,0.01099,0,0.0643
14-Mar,0,0,130.4,149.6,0,0.03565,0,2.324
14-Apr,0,0,255.5,151,0,0.2113,0,13.1
14-May,0.04159,0.5736,313.7,166,0.2458,6.463,9.849,62.88
14-Jun,12.61,9.152,317.6,153.6,41.6,36.18,38.93,109.6
14-Jul,19.06,16.44,240.6,138.2,52,130.9,129.6,176.9
14-Aug,6.74,1.397,224.1,129.6,62.61,141.5,96.32,131.4
14-Sep,3.624,0,199.8,136.6,17.06,44.34,24.66,73.72
14-Oct,0.2087,0,166.6,163,3.882,7.1,0.04375,21.88
14-Nov,2.93E-08,0,69.53,154,0.03733,0.643,0,4.002
14-Dec,0,0,26.88,145.4,0,0.01851,0,0.0397
15-Jan,0,0,23.11,135,0,0.001679,0,0.01283
15-Feb,0,0,58.1,121.3,0,0.008596,0,0.8379
15-Mar,0,0,137.5,146,0,0.04787,0,5.043
15-Apr,0.001153,0,221.5,147.4,0,0.3962,0,20.56
15-May,0.1807,0.00246,332.1,158.7,2.314,10.97,6.043,56.99
15-Jun,15.91,3.408,277.2,143.5,39.22,26.01,41.36,115.9
15-Jul,59.68,40.81,239.5,142.5,164.3,130.6,114.8,156.1
15-Aug,33.65,34.06,225.7,138.4,108.3,152.5,138.6,145.1
15-Sep,1.01,0.1795,224.3,144.5,32.92,39.11,21.21,63.79
15-Oct,0.03122,0,189.2,170.7,1.192,3.042,0.002604,18.27
15-Nov,0,0,87.44,166.5,0.00008938,1.131,0,8.553
