Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
19-Mar,69.67,74.74,52.22,83.5,66.68,67.87,62.83,51.24
19-Apr,69.36,63.95,49.83,84.68,73.91,69.15,67.18,52.41
19-May,71.12,71.28,50.56,83.63,75.73,69.29,63.87,53.82
19-Jun,68.35,63.92,62.42,83.82,66.59,81.49,78.55,61.39
19-Jul,60.58,64.34,77.41,80.91,67.26,85.72,84,66.05
19-Aug,66.27,68.45,81.88,79.18,69.3,82.66,80.89,65.92
19-Sep,67.61,73.49,82.11,78.02,73.19,78.4,80.98,61.77
19-Oct,82.14,83.39,75.9,81.33,77.79,76.53,72.57,60.88
19-Nov,86.4,89.11,72.49,80.82,82.03,69.99,67.15,57.98
19-Dec,83.91,85.09,71.66,84.08,77.51,72.09,65.06,60.79
20-Jan,83.4,86.32,70.58,84.04,75.66,71.6,67.95,66.2
20-Feb,77.32,78.21,60.98,83.88,68.67,69.68,67.6,57.47
20-Mar,72.72,68.88,60.18,84.34,72.61,70.01,62.37,52.25
20-Apr,65.47,55.85,53.33,84.45,67.52,66.96,59.41,48.35
20-May,67.27,64.41,56.25,84.39,68.66,76.53,76.3,54.67
20-Jun,71.53,70.49,72.82,84.18,70.5,82.36,79.39,61.59
20-Jul,61.65,65.82,79.7,83.76,66.39,87.25,87.1,66.32
20-Aug,65.13,66.96,82.95,81.32,68.39,80.99,86.67,67.07
20-Sep,68.79,72.36,79.13,82.89,71.37,79.87,78.25,65.5
20-Oct,81.9,84.19,69.21,82.6,76.33,72.82,65.14,56.83
20-Nov,82.23,86.4,65.15,83.84,79.48,71.65,64.81,57.78
20-Dec,86.88,88.96,66.59,84.53,82.43,70.02,60.46,60.37
21-Jan,84.47,87.4,67.53,84.98,77.45,70.67,63.99,53.68
21-Feb,78.19,80.2,56.45,83.58,76.3,68.06,61.63,52.91
21-Mar,70.39,73.26,49.73,84.19,68.49,71.31,70.16,53.26
21-Apr,62.48,67.43,47.43,82.75,70.36,67.67,63.92,53.66
21-May,71.78,73.06,61.37,83.9,69.5,78.38,74.15,56.25
21-Jun,73.67,69.33,72.07,83.4,66.54,80.98,80.62,61.86
21-Jul,74.07,75.44,78.8,82.2,66,83.81,82.85,66.1
21-Aug,72.46,77.96,79.56,83.33,64.88,83.25,82.65,67.78
21-Sep,76.04,78.56,82.28,83.4,70.68,79.42,79.28,64.68
21-Oct,78.71,81.09,72.63,82.25,73.96,74.26,72.3,61.85
21-Nov,85.28,88.75,69.15,84.03,81.58,71.11,68.05,59.11
21-Dec,86.51,89.6,69.76,84.56,77.69,70.8,63.62,59.14
22-Jan,82.67,86.72,71.88,84.06,72.56,69.32,57.91,63.33
22-Feb,77.33,78.02,60.13,83.75,70.29,67.91,54.53,58.97
22-Mar,68.24,61.54,50.77,83.77,65.02,70.98,67.73,51.42
22-Apr,70.22,68.55,49.24,83.09,68.96,71.46,65.23,48.21
22-May,66.99,65.91,57.2,83.46,71.24,73.95,63.69,54.88
22-Jun,67.31,64.58,65.45,83.96,63.96,82.14,80.16,61.3
22-Jul,57.1,59.99,82.33,83.1,61.41,84.37,83.53,62.29
22-Aug,60.74,62.43,82.15,82.77,66.86,81.69,82.69,66.33
22-Sep,71.77,76.74,80.36,82.63,70.05,79.5,75.77,60.52
22-Oct,79.51,83.16,72.7,84.06,76.41,73.3,69.82,59.24
22-Nov,84.11,86.36,64.94,84.37,78.68,72.94,66.5,61.03
22-Dec,85.56,88.13,66.79,83.66,84.35,70.95,61.83,54.64
