Date,Fund,AAPL,APTV,BAC,BALL,BEP,BKNG,BMRN,COST,CVS,DE,ETN,GOOGL,HD,HIG,MS,MSFT,PLD,TT,UNH,V
2015-09-30,100.0,25.098491668701172,60.50137710571289,13.413200378417969,29.074193954467773,9.919099807739258,1236.8599853515625,105.31999969482422,126.19966125488281,79.45135498046875,64.83463287353516,42.03425216674805,31.918500900268555,97.09138488769531,38.758949279785156,25.93196678161621,39.31695556640625,31.79678726196289,34.32805633544922,103.58490753173828,66.18212127685547
2015-10-31,100.0,25.098491668701172,60.50137710571289,13.413200378417969,29.074193954467773,9.919099807739258,1236.8599853515625,105.31999969482422,126.19966125488281,79.45135498046875,64.83463287353516,42.03425216674805,31.918500900268555,97.09138488769531,38.758949279785156,25.93196678161621,39.31695556640625,31.79678726196289,34.32805633544922,103.58490753173828,66.18212127685547
2015-11-30,105.29,27.034095764160156,70.13237762451172,15.005910873413086,32.510475158691406,9.209794044494629,1248.8499755859375,95.37000274658203,141.2727508544922,77.74609375,69.71477508544922,48.12165832519531,38.14250183105469,112.55170440673828,38.81949234008789,28.36906623840332,48.605499267578125,34.94377136230469,39.669620513916016,100.6383285522461,75.2002182006836
2015-12-31,103.95,24.05417251586914,68.41658782958984,14.530150413513184,34.06059646606445,9.606067657470703,1274.949951171875,104.76000213623047,141.3426971435547,80.78681945800781,67.3416976928711,43.0579719543457,38.9005012512207,111.67347717285156,36.96527862548828,26.309614181518555,49.61606979370117,35.420135498046875,37.58111572265625,105.49401092529297,73.81059265136719
2016-01-31,103.95,24.05417251586914,68.41658782958984,14.530150413513184,34.06059646606445,9.606067657470703,1274.949951171875,104.76000213623047,141.3426971435547,80.78681945800781,67.3416976928711,43.0579719543457,38.9005012512207,111.67347717285156,36.96527862548828,26.309614181518555,49.61606979370117,35.420135498046875,37.58111572265625,105.49401092529297,73.81059265136719
2016-02-29,96.54,22.215641021728516,53.478302001953125,10.809121131896973,31.07698631286621,9.770718574523926,1265.2099609375,81.87000274658203,131.6602325439453,80.6516342163086,70.79398345947266,46.92192077636719,35.861000061035156,104.80844116210938,35.825531005859375,20.54996109008789,45.82896041870117,31.739473342895508,37.76464080810547,106.80326080322266,69.03533172607422
2016-03-31,102.95,25.041702270507812,60.1671028137207,11.716882705688477,33.45128631591797,11.173462867736816,1288.9599609375,82.4800033569336,138.28585815429688,86.09648132324219,68.48999786376953,52.27642822265625,38.14500045776367,113.28946685791016,39.38335037231445,20.807880401611328,49.74712371826172,36.825172424316406,42.38587951660156,116.06845092773438,72.93582153320312
2016-04-30,102.95,25.041702270507812,60.1671028137207,11.716882705688477,33.45128631591797,11.173462867736816,1288.9599609375,82.4800033569336,138.28585815429688,86.09648132324219,68.48999786376953,52.27642822265625,38.14500045776367,113.28946685791016,39.38335037231445,20.807880401611328,49.74712371826172,36.825172424316406,42.38587951660156,116.06845092773438,72.93582153320312
2016-05-31,103.28,23.083683013916016,54.730133056640625,12.817506790161133,33.986732482910156,10.93545150756836,1264.3299560546875,89.6500015258789,130.94070434570312,80.38423156738281,73.20484924316406,51.967323303222656,37.442501068115234,112.75807189941406,38.78647994995117,22.896013259887695,48.07241439819336,39.61748504638672,45.666839599609375,120.36361694335938,75.41513061523438
2016-06-30,104.23,22.09893798828125,50.41357421875,11.53923511505127,33.98202896118164,11.283928871154785,1248.4100341796875,77.80000305175781,138.2196044921875,79.7925033569336,72.63370513916016,50.365211486816406,35.17649841308594,108.97727966308594,38.10811996459961,21.73322868347168,46.41254425048828,41.226905822753906,43.739967346191406,127.7230453491211,70.85810852050781
2016-07-31,104.23,22.09893798828125,50.41357421875,11.53923511505127,33.98202896118164,11.283928871154785,1248.4100341796875,77.80000305175781,138.2196044921875,79.7925033569336,72.63370513916016,50.365211486816406,35.17649841308594,108.97727966308594,38.10811996459961,21.73322868347168,46.41254425048828,41.226905822753906,43.739967346191406,127.7230453491211,70.85810852050781
2016-08-31,110.2,24.658981323242188,57.15467071533203,14.100229263305664,37.28697967529297,11.552680969238281,1416.72998046875,93.88999938964844,143.04786682128906,78.18531799316406,75.77960205078125,56.611629486083984,39.49250030517578,115.05198669433594,35.45044708251953,27.00414276123047,52.44257736206055,44.64847946166992,46.70038986206055,123.0645751953125,77.42173767089844
2016-09-30,109.05,26.274250030517578,57.688533782958984,13.67215347290039,38.58652877807617,11.821706771850586,1471.489990234375,92.5199966430664,134.59332275390625,74.49368286132812,77.05329895019531,55.90548324584961,40.202999114990234,110.38538360595703,36.961002349853516,27.00414276123047,52.57035827636719,45.38005447387695,46.890567779541016,127.22237396240234,79.14433288574219
2016-10-31,105.89,26.388124465942383,52.63309860229492,14.414729118347168,36.28876495361328,11.737157821655273,1474.22998046875,80.5199966430664,130.4984130859375,70.7482681274414,79.71652221679688,54.254940032958984,40.494998931884766,104.66370391845703,38.07448959350586,28.44538116455078,54.687774658203125,44.210384368896484,46.44195556640625,128.43099975585938,78.96251678466797
2016-11-30,110.34,25.81812286376953,51.99346160888672,18.519304275512695,35.40185546875,11.343022346496582,1503.6800537109375,85.62999725341797,132.88294982910156,64.68292999267578,90.45974731445312,57.120906829833984,38.79399871826172,111.59243774414062,40.87091827392578,35.046199798583984,55.36963653564453,43.14241027832031,51.445735931396484,144.4431915283203,74.1513900756836
