Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
16-Dec,4.579,2.453,19.54,27.27,6.676,7.413,2.77,5.699
17-Jan,2.019,-1.689,18.6,26.78,3.561,4.195,-0.2055,3.996
17-Feb,7.124,3.566,21.93,26.26,8.112,4.828,1.342,5.759
17-Mar,10.01,7.781,26.07,27.12,11.26,7.137,6.312,9.804
17-Apr,10.42,7.819,31.83,27.58,13.17,13.41,13.63,16.87
17-May,15.6,14.58,34.53,28.04,17.58,18.61,18.52,21.8
17-Jun,20.07,18.32,34.82,27.25,23.06,20.74,21.98,24.91
17-Jul,20.44,18.51,32.75,26.55,24.4,28.32,27.67,30.93
17-Aug,19.95,18.17,32.91,26.39,25.53,28.16,26.96,29.15
17-Sep,15.02,13.13,32.8,27.15,18.48,22.11,20.99,23.64
17-Oct,13.64,11.52,28.93,27.86,15.38,16.77,15.61,16.11
17-Nov,7.362,5.416,22.52,27.13,9.825,10.78,6.562,9.941
17-Dec,5.12,3.046,19.39,27.01,5.704,5.037,-0.3088,4.201
18-Jan,7.527,4.283,17.8,26.46,7.758,3.296,-2.436,1.327
18-Feb,2.311,-1.424,21.87,26.11,5.069,3.639,-0.3988,4.155
18-Mar,6.972,3.033,26.87,26.93,8.513,9.614,7.829,11.78
18-Apr,12.93,12.8,30.79,28.19,14.97,14.83,12.82,17.07
18-May,15.4,16.41,33.97,27.96,17.86,18.23,17.57,22.49
18-Jun,18.98,18.08,35.12,27.3,21.6,21.74,21.99,26.04
18-Jul,22.2,20.89,33.06,26.18,24.44,29.51,29,30.66
18-Aug,20.97,20.3,32.17,26.27,24.58,29.9,30.3,29.59
18-Sep,17.49,15.47,31.1,26.64,20.79,22.62,20.8,22.72
18-Oct,13.21,11.19,27.35,27.7,16.53,17.5,13.13,15.74
18-Nov,8.449,5.651,23.11,27.68,11.66,12.51,8.165,10.29
18-Dec,6.893,4.257,18.56,27.46,6.943,7.1,0.6263,3.641
19-Jan,3.819,0.9903,17.89,27.06,4.579,4.448,-0.08994,3.041
19-Feb,6.842,4.477,21.08,27.35,7.499,5.965,1.98,4.702
19-Mar,9.155,7.006,25.64,27.31,10.64,8.854,7.153,11.24
19-Apr,10.74,10.02,31.47,28.48,12.64,12.54,11.9,16.86
19-May,12.92,11.29,34.24,28.43,14.33,18.61,18.39,21.12
19-Jun,19.14,20.09,36.05,26.94,23.4,21.24,21.36,25.88
19-Jul,21.77,19.39,33.67,26.17,24.93,25.19,25.77,29.44
19-Aug,20.46,19.4,33.01,26.13,24.85,29.68,28.23,28.58
19-Sep,17.11,14.44,31.27,26.71,20.33,25.03,22.05,23.36
19-Oct,13.75,11.23,27.15,27.58,16.64,18.65,16.02,17.01
19-Nov,7.805,5.454,23.51,28.5,11.6,11.93,8.387,10.77
19-Dec,7.048,4.106,18.28,27.91,8.361,7.541,2.348,4.893
20-Jan,6.274,3.794,17.99,27.82,6.469,6.264,2.443,3.786
20-Feb,8.349,5.657,20.67,27.45,8.933,6.4,3.331,6.768
20-Mar,8.32,5.746,24.97,28.14,9.412,9.46,7.769,11.66
20-Apr,13.3,11.01,30.09,28.56,13.28,11.67,11.07,15.21
20-May,15.62,12.46,33.37,28.85,17.74,18.41,17.57,22.37
20-Jun,17.59,17.24,34.06,27.35,20.31,22.59,22.73,26.53
20-Jul,20.46,18.14,34.07,26.26,23.96,24.16,23.2,27.79
20-Aug,21.31,20.43,33.1,27.02,24.74,31.42,28.4,29.44
20-Sep,17.72,15.29,32.94,27.16,20.63,24.44,20.82,22.44
20-Oct,11.97,10.45,28.81,27.39,14.38,16.74,14.24,15.74
20-Nov,9.408,6.541,22.36,27.64,11.17,12.69,8.475,10.95
20-Dec,6.275,3.477,18.83,26.51,7.406,6.108,0.3768,3.007
21-Jan,4.101,1.063,18.48,25.81,5.464,3.961,-1.081,2.498
21-Feb,7.104,2.41,21.47,26.27,8.308,6.538,3.179,8.061
21-Mar,7.902,5.212,26.86,26.84,9.067,10.71,8.7,11.77
21-Apr,9.292,6.387,30.52,27.55,11.41,13.47,13.48,15.69
21-May,12.67,10.95,32.05,28.3,16.12,18.14,16.76,21.89
21-Jun,19.06,19.25,33.31,27.17,22.76,21.87,22,26.35
21-Jul,19.39,18.44,33.65,26.69,24.41,26.75,28.82,29.95
21-Aug,18.7,16.65,32.65,26.56,24.42,28.13,26.18,27.77
21-Sep,17.91,15.5,31.7,26.94,20.94,22.57,22.07,24.85
21-Oct,12.22,9.944,28.68,27.85,14.51,17.77,15.68,16.44
21-Nov,6.833,5.006,22.39,27.04,11.26,12.14,8.572,9.948
21-Dec,6.206,3.123,19.01,27.03,6.724,6.443,1.722,4.988
22-Jan,4.194,3,17.61,26.71,5.879,3.551,-0.9402,3.155
22-Feb,7.222,4.862,20.32,26.38,7.927,3.664,-0.1242,3.227
22-Mar,9.026,5.712,27.48,27.43,8.437,9.377,7.549,12.22
22-Apr,10.86,8.208,32.41,27.71,12.31,14.33,13.66,16.82
22-May,16.58,14.89,34.05,28.23,18.85,17.9,18.12,20.28
22-Jun,19.79,18.63,34.68,26.32,24.18,22.63,22.76,26.93
22-Jul,22.2,19.6,33.61,26.61,26.64,27.95,27.67,30.84
22-Aug,22.43,20.72,32.94,26.47,25,29.54,27.32,30.51
22-Sep,16.72,13.74,31.71,26.78,20.27,24.53,21.63,23.27
22-Oct,15.86,12.9,26.95,26.45,17.49,16.86,14.37,16.41
22-Nov,9.819,6.886,22.25,26.7,11.64,13.35,9.869,12.07
22-Dec,5.719,2.243,19.56,26.38,8.802,5.832,-1.495,2.612
